	checknum	checkdate	payer	payee	amount	filename
0	741	July 22, 2023	Tinker Bell, Pixie Hollow	Captain Hook	250.17	check92.png
1	0123	8/15/2022	John P. Smith	Jane Miller	48.50	check93.png
2	0007	Aug 11, 2019	John Smith, 765 Dolor sit Amet APT B5, Brooklyn, NY, 12345	Mary Johnson	715.39	check91.png
3	1234	10/10/2023	John Doe	Jane Smith	100.00	check94.png
4	0123	8/15/2022	John P. Smith, 123 Main Street, New York, NY 10001	Jane Miller	48.50	check95.png
5	000	5/10/2023	"Jane Checkholder
123 Main St
Anytown, USA 12345"	John Smith	1,000.00	check97.png
6	00034	7/4/2024	YOUR NAME Your Address Place Tel: 99999-0000	Alexander Johnson	400.00	check96.png
7	0007	Aug. 11, 2019	"John Smith
765 Dolor sit Amet APT B5
Brooklyn, NY, 12345"	Mary Johnson	715.39	check6.png
8	878	January 13, 1975	HON. GERALD R. FORD, MRS. BETTY B. FORD	Presiding Bishop, Episcopal Church	$25.00	check4.png
9	9999	11/30/2011	ROBERT SAMPLE JOAN SAMPLE 123 MAIN ST. PORTLAND, ME 04101	Sample Check	158.00	check5.png
10	002	7/4/2024	Jill Smith, 345 Pine Street, Denver, CO 80216	Alexander Johnson	1,000.00	check98.png
11	0123	07/22/2019	"JANE DOE
123 Street
City, AA 00000"	Bob Landlord	558.15	check99.png
